NODE;COLAVOID;CONNODE
784;1359;7097
1440;1550;3794
1665;1032;10095
1421;1980;4188
886;1894;8208
1473;1336;3696
1919;1058;7055
1411;1555;4054
1587;1866;8064
1612;1296;3255
1489;1688;12534
1415;1622;4052
799;1128;7454
1435;1735;3844
1395;1002;7039
1690;1310;3839
1039;1681;7834
1835;1283;3868
1275;1096;6893
1564;1077;3984
1102;1454;7577
1554;1210;3536
1569;1681;10900
1689;1102;3785
1244;1088;6093
936;1843;3776
1865;1437;9750
1664;1684;4013
1426;1987;11828
1652;1754;3881
1421;1728;8300
1645;1893;3835
1122;1685;10742
1350;1677;4149
924;1199;8875
1819;1939;4053
1318;1534;10765
1548;1977;3579
1156;1686;8858
1646;1435;3749
1574;1373;8101
1595;1007;3924
509;1939;3074
1869;1244;3921
1309;1744;10620
1397;1244;8456
1651;1368;4057
975;1465;10107
1498;1226;3319
1451;1107;7336
1758;1135;4180
782;1447;9952
1568;1499;3379
1387;1251;9250
1581;1749;3970
1461;1982;8224
1532;1426;3764
1259;1930;10514
1548;1673;4223
810;1044;5363
1317;1711;3885
895;1492;7030
976;1490;2621
7240;1811;21627
1627;1530;4112
1089;1415;10331
1383;1898;3932
1318;1019;7499
1777;1395;3896
1847;1369;8555
1585;1217;3739
1354;1927;8060
1504;1801;3940
1313;1035;10771
1713;1969;4375
2533;1347;4372
839;1927;7337
1440;1780;3937
1554;1742;10903
1594;1407;3783
1212;1415;6582
1314;1726;4033
1322;1721;11354
1516;1419;3699
1827;1593;10555
1453;1108;3734
1807;1087;9790
629;1193;2602
1285;1826;9328
1596;1098;3596
1224;1754;7646
1907;1052;4064
1569;1271;11056
1531;1174;3651
1066;1488;8735
1483;1497;3704
1196;1637;10477
1930;1354;4015
1308;1260;8298
1548;1039;3629
1010;1317;7947
1552;1540;4233
1093;1116;8605
1737;1338;3890
1718;1506;9812
1686;1290;3874
1246;1674;11988
1404;1518;3980
1072;1298;7737
1387;1192;3119
505;1368;3682
1280;1494;8046
1709;1264;4078
1276;1312;10221
1448;1889;3495
1504;1533;10412
1495;1891;4019
1686;1503;12172
1550;1431;3693
1335;1690;11974
1491;1269;3772
1204;1187;6586
1446;1480;3749
1396;1791;7821
1517;1798;7428
1572;1844;8271
1954;1227;3951
1305;1211;10770
1067;1829;6923
1277;1818;3915
959;1123;10748
1667;1871;4380
741;1245;6376
1595;1362;3695
1061;1842;10153
1454;1396;3580
1520;1364;7990
1286;1982;4021
1522;1835;10298
1419;1819;4037
1814;1528;15495
1624;1652;3658
687;1347;6614
1290;1689;4156
869;1220;6182
1813;1103;4056
1456;1623;10705
1626;1092;3399